"Article","Number of tweets","Number of tweets(in thousands)","Date"
"thanks","7367","8","04/22/2020"
"weeks","7353","8","04/22/2020"
"use","7346","8","04/22/2020"
"lives","7303","8","04/22/2020"
"working","7298","8","04/22/2020"
"vía","7269","8","04/22/2020"
"update","7253","8","04/22/2020"
"diri","7249","8","04/22/2020"
"face","7183","8","04/22/2020"
"em","7145","8","04/22/2020"
"media","7126","8","04/22/2020"
"bumi","7084","8","04/22/2020"
"made","7082","8","04/22/2020"
"medical","7075","8","04/22/2020"
"earth","7024","8","04/22/2020"
"real","7013","8","04/22/2020"
"everyone","6987","7","04/22/2020"
"relief","6961","7","04/22/2020"
"safe","6948","7","04/22/2020"
"america","6940","7","04/22/2020"
"setiap","6936","7","04/22/2020"
"open","6931","7","04/22/2020"
"to","6864","7","04/22/2020"
"never","6856","7","04/22/2020"
"insan","6849","7","04/22/2020"
"diperlukan","6838","7","04/22/2020"
"kuat","6828","7","04/22/2020"
"earthday2020","6820","7","04/22/2020"
"food","6805","7","04/22/2020"
"another","6770","7","04/22/2020"
"americans","6763","7","04/22/2020"
"tertanam","6753","7","04/22/2020"
"pertiwi","6745","7","04/22/2020"
"number","6736","7","04/22/2020"
"check","6717","7","04/22/2020"
"gobierno","6708","7","04/22/2020"
"study","6702","7","04/22/2020"
"long","6682","7","04/22/2020"
"next","6680","7","04/22/2020"
"tested","6656","7","04/22/2020"
"com","6644","7","04/22/2020"
"membantu","6635","7","04/22/2020"
"better","6591","7","04/22/2020"
"million","6584","7","04/22/2020"
"persatuan","6570","7","04/22/2020"
"man","6493","7","04/22/2020"
"online","6477","7","04/22/2020"
"plan","6472","7","04/22/2020"
"twitter","6470","7","04/22/2020"
"usa","6447","7","04/22/2020"
"cdc","6386","7","04/22/2020"
"sur","6362","7","04/22/2020"
"getting","6351","7","04/22/2020"
"app","6346","7","04/22/2020"
"himbauan","6341","7","04/22/2020"
"satu","6335","7","04/22/2020"
"confirmed","6314","7","04/22/2020"
"mais","6302","7","04/22/2020"
"end","6268","7","04/22/2020"
"dans","6264","7","04/22/2020"
"va","6247","7","04/22/2020"
"around","6235","7","04/22/2020"
"tni","6229","7","04/22/2020"
"hope","6218","7","04/22/2020"
"salud","6187","7","04/22/2020"
"risk","6183","7","04/22/2020"
"30","6175","7","04/22/2020"
"family","6153","7","04/22/2020"
"week","6147","7","04/22/2020"
"watch","6127","7","04/22/2020"
"yang","6095","7","04/22/2020"
"give","6093","7","04/22/2020"
"report","6092","7","04/22/2020"
"since","6082","7","04/22/2020"
"find","6054","7","04/22/2020"
"best","6029","7","04/22/2020"
"eu","6024","7","04/22/2020"
"second","6021","7","04/22/2020"
"ca","5980","6","04/22/2020"
"quarantine","5975","6","04/22/2020"
"article","5965","6","04/22/2020"
"in","5965","6","04/22/2020"
"não","5961","6","04/22/2020"
"turut","5956","6","04/22/2020"
"ser","5932","6","04/22/2020"
"already","5919","6","04/22/2020"
"andil","5910","6","04/22/2020"
"cnn","5908","6","04/22/2020"
"qui","5900","6","04/22/2020"
"businesses","5898","6","04/22/2020"
"impact","5898","6","04/22/2020"
"information","5892","6","04/22/2020"
"plus","5865","6","04/22/2020"
"24","5864","6","04/22/2020"
"case","5859","6","04/22/2020"
"mematuhi","5854","6","04/22/2020"
"coronaviruspandemic","5803","6","04/22/2020"
"community","5717","6","04/22/2020"
"stayhome","5683","6","04/22/2020"
"important","5678","6","04/22/2020"
"kebijakan","5659","6","04/22/2020"
"without","5584","6","04/22/2020"
"call","5564","6","04/22/2020"
"updates","5561","6","04/22/2020"
"top","5559","6","04/22/2020"
"yaitu","5539","6","04/22/2020"
"god","5531","6","04/22/2020"
"show","5523","6","04/22/2020"
"100","5518","6","04/22/2020"
"needs","5505","6","04/22/2020"
"doctors","5495","6","04/22/2020"
"mundo","5474","6","04/22/2020"
"peraturan","5470","6","04/22/2020"
"far","5468","6","04/22/2020"
"part","5463","6","04/22/2020"
"start","5449","6","04/22/2020"
"ini","5430","6","04/22/2020"
"federal","5408","6","04/22/2020"
"county","5393","6","04/22/2020"
"love","5378","6","04/22/2020"
"big","5375","6","04/22/2020"
"change","5365","6","04/22/2020"
"job","5365","6","04/22/2020"
"put","5365","6","04/22/2020"
"ve","5354","6","04/22/2020"
"human","5344","6","04/22/2020"
"done","5337","6","04/22/2020"
"story","5330","6","04/22/2020"
"countries","5320","6","04/22/2020"
"21","5313","6","04/22/2020"
"yet","5274","6","04/22/2020"
"years","5261","6","04/22/2020"
"aktif","5251","6","04/22/2020"
"mentaati","5243","6","04/22/2020"
"chinese","5240","6","04/22/2020"
"believe","5230","6","04/22/2020"
"disease","5229","6","04/22/2020"
"future","5224","6","04/22/2020"
"economic","5209","6","04/22/2020"
"personas","5200","6","04/22/2020"
"city","5186","6","04/22/2020"
"berharap","5180","6","04/22/2020"
"11","5176","6","04/22/2020"
"rate","5171","6","04/22/2020"
"ne","5165","6","04/22/2020"
"hoy","5126","6","04/22/2020"
"satunya","5122","6","04/22/2020"
"house","5106","6","04/22/2020"
"thing","5081","6","04/22/2020"
"reported","5075","6","04/22/2020"
"bill","5060","6","04/22/2020"
"protect","5038","6","04/22/2020"
"director","5020","6","04/22/2020"
"distancing","5019","6","04/22/2020"
"masks","5006","6","04/22/2020"
"sure","4996","5","04/22/2020"
"15","4985","5","04/22/2020"
"numbers","4975","5","04/22/2020"
"things","4974","5","04/22/2020"
"ce","4956","5","04/22/2020"
"small","4924","5","04/22/2020"
"staff","4913","5","04/22/2020"
"país","4905","5","04/22/2020"
"che","4894","5","04/22/2020"
"society","4883","5","04/22/2020"
"national","4878","5","04/22/2020"
"wave","4870","5","04/22/2020"
"early","4866","5","04/22/2020"
"order","4860","5","04/22/2020"
"and","4815","5","04/22/2020"
"making","4812","5","04/22/2020"
"treatment","4798","5","04/22/2020"
"casa","4796","5","04/22/2020"
"pay","4793","5","04/22/2020"
"together","4792","5","04/22/2020"
"cuarentena","4770","5","04/22/2020"
"pm","4745","5","04/22/2020"
"using","4720","5","04/22/2020"
"might","4718","5","04/22/2020"
"je","4714","5","04/22/2020"
"join","4709","5","04/22/2020"
"save","4703","5","04/22/2020"
"sa","4698","5","04/22/2020"
"ppe","4677","5","04/22/2020"
"hospitals","4676","5","04/22/2020"
"coming","4675","5","04/22/2020"
"something","4674","5","04/22/2020"
"mayor","4672","5","04/22/2020"
"local","4667","5","04/22/2020"
"12","4660","5","04/22/2020"
"thought","4649","5","04/22/2020"
"away","4645","5","04/22/2020"
"ever","4632","5","04/22/2020"
"anyone","4631","5","04/22/2020"
"der","4631","5","04/22/2020"
"gov","4622","5","04/22/2020"
"medidas","4602","5","04/22/2020"
"gente","4600","5","04/22/2020"
"american","4586","5","04/22/2020"
"enough","4576","5","04/22/2020"
"hydroxychloroquine","4573","5","04/22/2020"
"par","4565","5","04/22/2020"
"wuhan","4551","5","04/22/2020"
"doctor","4548","5","04/22/2020"
"infected","4536","5","04/22/2020"
"04","4520","5","04/22/2020"
"healthcare","4501","5","04/22/2020"
"high","4453","5","04/22/2020"
"taking","4451","5","04/22/2020"
"um","4447","5","04/22/2020"
"person","4446","5","04/22/2020"
"research","4446","5","04/22/2020"
"students","4438","5","04/22/2020"
"old","4424","5","04/22/2020"
"trying","4420","5","04/22/2020"
"govt","4397","5","04/22/2020"
"drug","4377","5","04/22/2020"
"someone","4376","5","04/22/2020"
"share","4372","5","04/22/2020"
"likely","4321","5","04/22/2020"
"across","4303","5","04/22/2020"
"oh","4303","5","04/22/2020"
"bad","4296","5","04/22/2020"
"nhs","4291","5","04/22/2020"
"hit","4285","5","04/22/2020"
"emergency","4284","5","04/22/2020"
"nothing","4276","5","04/22/2020"
"worse","4274","5","04/22/2020"
"yes","4256","5","04/22/2020"
"cats","4245","5","04/22/2020"
"rel","4227","5","04/22/2020"
"toll","4222","5","04/22/2020"
"action","4221","5","04/22/2020"
"symptoms","4217","5","04/22/2020"
"href","4215","5","04/22/2020"
"nofollow","4215","5","04/22/2020"
"reopen","4185","5","04/22/2020"
"air","4184","5","04/22/2020"
"place","4171","5","04/22/2020"
"vous","4153","5","04/22/2020"
"kita","4152","5","04/22/2020"
"mask","4149","5","04/22/2020"
"control","4138","5","04/22/2020"
"team","4134","5","04/22/2020"
"día","4121","5","04/22/2020"
"50","4119","5","04/22/2020"
"así","4115","5","04/22/2020"
"continue","4111","5","04/22/2020"
"month","4093","5","04/22/2020"
"situation","4092","5","04/22/2020"
"de","4089","5","04/22/2020"
"saying","4086","5","04/22/2020"
"tell","4079","5","04/22/2020"
"van","4075","5","04/22/2020"
"others","4063","5","04/22/2020"
"ahora","4061","5","04/22/2020"
"dos","4051","5","04/22/2020"
"25","4045","5","04/22/2020"
"of","4034","5","04/22/2020"
"bien","4029","5","04/22/2020"
"stayathome","4028","5","04/22/2020"
"cause","4024","5","04/22/2020"
"contact","4019","5","04/22/2020"
"fake","4016","5","04/22/2020"
"france","4012","5","04/22/2020"
"tegas","4012","5","04/22/2020"
"war","4003","5","04/22/2020"
"california","4002","5","04/22/2020"
"hard","3990","4","04/22/2020"
"experts","3986","4","04/22/2020"
"soon","3969","4","04/22/2020"
"link","3968","4","04/22/2020"
"solo","3959","4","04/22/2020"
"und","3953","4","04/22/2020"
"follow","3929","4","04/22/2020"
"science","3925","4","04/22/2020"
"el","3907","4","04/22/2020"
"system","3904","4","04/22/2020"
"कर","3899","4","04/22/2020"
"less","3879","4","04/22/2020"
"population","3879","4","04/22/2020"
"rt","3869","4","04/22/2020"
"bersama","3866","4","04/22/2020"
"lot","3857","4","04/22/2020"
"it","3845","4","04/22/2020"
"always","3836","4","04/22/2020"
"governor","3835","4","04/22/2020"
"children","3835","4","04/22/2020"
"warns","3823","4","04/22/2020"
"related","3822","4","04/22/2020"
"masa","3816","4","04/22/2020"
"das","3810","4","04/22/2020"
"shows","3804","4","04/22/2020"
"coronavírus","3802","4","04/22/2020"
"possible","3793","4","04/22/2020"
"info","3785","4","04/22/2020"
"full","3782","4","04/22/2020"
"españa","3776","4","04/22/2020"
"questions","3763","4","04/22/2020"
"months","3761","4","04/22/2020"
"force","3752","4","04/22/2020"
"learn","3726","4","04/22/2020"
"aid","3723","4","04/22/2020"
"measures","3722","4","04/22/2020"
"quedateencasa","3722","4","04/22/2020"
"police","3722","4","04/22/2020"
"ll","3699","4","04/22/2020"
"sick","3699","4","04/22/2020"
"this","3692","4","04/22/2020"
"shit","3680","4","04/22/2020"
"14","3678","4","04/22/2020"
"climate","3662","4","04/22/2020"
"reports","3652","4","04/22/2020"
"happy","3650","4","04/22/2020"
"recovered","3649","4","04/22/2020"
"tindak","3641","4","04/22/2020"
"nuevos","3620","4","04/22/2020"
"south","3618","4","04/22/2020"
"breaking","3617","4","04/22/2020"
"feel","3608","4","04/22/2020"
"least","3607","4","04/22/2020"
"18","3603","4","04/22/2020"
"point","3601","4","04/22/2020"
"actually","3599","4","04/22/2020"
"nous","3582","4","04/22/2020"
"minister","3573","4","04/22/2020"
"used","3568","4","04/22/2020"
"little","3528","4","04/22/2020"
"fund","3525","4","04/22/2020"
"confinement","3516","4","04/22/2020"
"looking","3512","4","04/22/2020"
"current","3501","4","04/22/2020"
"ai","3500","4","04/22/2020"
"anything","3497","4","04/22/2020"
"iii","3496","4","04/22/2020"
"no","3486","4","04/22/2020"
"puede","3480","4","04/22/2020"
"ago","3480","4","04/22/2020"
"families","3473","4","04/22/2020"
"gop","3463","4","04/22/2020"
"web","3454","4","04/22/2020"
"political","3449","4","04/22/2020"
"bbc","3448","4","04/22/2020"
"restrictions","3446","4","04/22/2020"
"everything","3444","4","04/22/2020"
"dead","3438","4","04/22/2020"
"qu","3432","4","04/22/2020"
"mas","3413","4","04/22/2020"
"millions","3404","4","04/22/2020"
"white","3386","4","04/22/2020"
"different","3386","4","04/22/2020"
"on","3367","4","04/22/2020"
"semua","3365","4","04/22/2020"
"fighting","3362","4","04/22/2020"
"hacer","3336","4","04/22/2020"
"essential","3329","4","04/22/2020"
"lost","3327","4","04/22/2020"
"fox","3325","4","04/22/2020"
"makes","3323","4","04/22/2020"
"school","3321","4","04/22/2020"
"avec","3319","4","04/22/2020"
"services","3309","4","04/22/2020"
"maybe","3308","4","04/22/2020"
"23","3295","4","04/22/2020"
"hear","3292","4","04/22/2020"
"40","3282","4","04/22/2020"
"wrong","3278","4","04/22/2020"
"chief","3278","4","04/22/2020"
"available","3272","4","04/22/2020"
"baksoskartinipoldajatim","3264","4","04/22/2020"
"normal","3261","4","04/22/2020"
"pada","3261","4","04/22/2020"
"kepolisian","3260","4","04/22/2020"
"towards","3257","4","04/22/2020"
"komisi","3256","4","04/22/2020"
"pacientes","3246","4","04/22/2020"
"recovery","3242","4","04/22/2020"
"we","3241","4","04/22/2020"
"pelaku","3230","4","04/22/2020"
"staysafe","3226","4","04/22/2020"
"truth","3220","4","04/22/2020"
"infection","3218","4","04/22/2020"
"cegah","3210","4","04/22/2020"
"homes","3209","4","04/22/2020"
"anti","3205","4","04/22/2020"
"fact","3203","4","04/22/2020"
"dying","3203","4","04/22/2020"
"seen","3199","4","04/22/2020"
"leaders","3196","4","04/22/2020"
"sign","3191","4","04/22/2020"
"officials","3191","4","04/22/2020"
"including","3188","4","04/22/2020"
"fall","3183","4","04/22/2020"
"question","3180","4","04/22/2020"
"fuck","3173","4","04/22/2020"
"la","3171","4","04/22/2020"
"gates","3160","4","04/22/2020"
"muertos","3154","4","04/22/2020"
"financial","3153","4","04/22/2020"
"left","3152","4","04/22/2020"
"45","3148","4","04/22/2020"
"become","3145","4","04/22/2020"
"personal","3144","4","04/22/2020"
"muertes","3143","4","04/22/2020"
"wants","3136","4","04/22/2020"
"méxico","3134","4","04/22/2020"
"dpr","3131","4","04/22/2020"
"en","3129","4","04/22/2020"
"tidak","3127","4","04/22/2020"
"nigeria","3125","4","04/22/2020"
"is","3118","4","04/22/2020"
"told","3115","4","04/22/2020"
"provide","3112","4","04/22/2020"
"you","3108","4","04/22/2020"
"citizens","3107","4","04/22/2020"
"abril","3104","4","04/22/2020"
"increase","3098","4","04/22/2020"
"found","3096","4","04/22/2020"
"service","3082","4","04/22/2020"
"united","3081","4","04/22/2020"
"kids","3076","4","04/22/2020"
"official","3063","4","04/22/2020"
"safety","3062","4","04/22/2020"
"wednesday","3057","4","04/22/2020"
"webinar","3057","4","04/22/2020"
"billion","3056","4","04/22/2020"
"travel","3047","4","04/22/2020"
"efforts","3044","4","04/22/2020"
"etc","3043","4","04/22/2020"
"blood","3037","4","04/22/2020"
"cómo","3026","4","04/22/2020"
"foxnews","3023","4","04/22/2020"
"nation","3018","4","04/22/2020"
"kill","3014","4","04/22/2020"
"called","3008","4","04/22/2020"
"на","3001","4","04/22/2020"
"kriminal","2999","3","04/22/2020"
"press","2998","3","04/22/2020"
"immigration","2995","3","04/22/2020"
"ask","2993","3","04/22/2020"
"march","2989","3","04/22/2020"
"for","2979","3","04/22/2020"
"lab","2975","3","04/22/2020"
"visit","2964","3","04/22/2020"
"patient","2964","3","04/22/2020"
"leadership","2959","3","04/22/2020"
"key","2957","3","04/22/2020"
"companies","2948","3","04/22/2020"
"hi","2946","3","04/22/2020"
"indonesia","2943","3","04/22/2020"
"presidente","2943","3","04/22/2020"
"terhadap","2941","3","04/22/2020"
"ways","2933","3","04/22/2020"
"higher","2932","3","04/22/2020"
"mean","2925","3","04/22/2020"
"पर","2920","3","04/22/2020"
"industry","2920","3","04/22/2020"
"oil","2911","3","04/22/2020"
"gracias","2909","3","04/22/2020"
"fear","2905","3","04/22/2020"
"briefing","2905","3","04/22/2020"
"idea","2901","3","04/22/2020"
"potus","2897","3","04/22/2020"
"helping","2894","3","04/22/2020"
"based","2892","3","04/22/2020"
"given","2891","3","04/22/2020"
"three","2886","3","04/22/2020"
"georgia","2884","3","04/22/2020"
"act","2884","3","04/22/2020"
"00","2880","3","04/22/2020"
"días","2877","3","04/22/2020"
"wait","2875","3","04/22/2020"
"ou","2872","3","04/22/2020"
"hace","2871","3","04/22/2020"
"dari","2870","3","04/22/2020"
"africa","2866","3","04/22/2020"
"at","2865","3","04/22/2020"
"understand","2864","3","04/22/2020"
"living","2863","3","04/22/2020"
"group","2862","3","04/22/2020"
"line","2859","3","04/22/2020"
"argentina","2859","3","04/22/2020"
"jobs","2859","3","04/22/2020"
"talk","2858","3","04/22/2020"
"residents","2854","3","04/22/2020"
"ver","2853","3","04/22/2020"
"green","2838","3","04/22/2020"
"mil","2834","3","04/22/2020"
"needed","2833","3","04/22/2020"
"self","2830","3","04/22/2020"
"sont","2823","3","04/22/2020"
"administration","2823","3","04/22/2020"
"listen","2818","3","04/22/2020"
"able","2800","3","04/22/2020"
"años","2799","3","04/22/2020"
"remember","2795","3","04/22/2020"
"employees","2792","3","04/22/2020"
"seems","2788","3","04/22/2020"
"penyebaran","2787","3","04/22/2020"
"oms","2785","3","04/22/2020"
"narendramodi","2784","3","04/22/2020"
"closed","2777","3","04/22/2020"
"ça","2775","3","04/22/2020"
"interesting","2775","3","04/22/2020"
"kejahatan","2772","3","04/22/2020"
"return","2768","3","04/22/2020"
"2019","2766","3","04/22/2020"
"cure","2758","3","04/22/2020"
"according","2758","3","04/22/2020"
"general","2754","3","04/22/2020"
"dia","2750","3","04/22/2020"
"close","2749","3","04/22/2020"
"harvard","2747","3","04/22/2020"
"low","2745","3","04/22/2020"
"earlier","2741","3","04/22/2020"
"resources","2735","3","04/22/2020"
"whole","2735","3","04/22/2020"
"caso","2729","3","04/22/2020"
"uma","2727","3","04/22/2020"
"means","2725","3","04/22/2020"
"tweet","2722","3","04/22/2020"
"brasil","2722","3","04/22/2020"
"market","2716","3","04/22/2020"
"instead","2715","3","04/22/2020"
"wow","2712","3","04/22/2020"
"issues","2708","3","04/22/2020"
"set","2696","3","04/22/2020"
"germany","2693","3","04/22/2020"
"digital","2691","3","04/22/2020"
"co","2690","3","04/22/2020"
"stupid","2690","3","04/22/2020"
"het","2685","3","04/22/2020"
"sir","2680","3","04/22/2020"
"fauci","2678","3","04/22/2020"
"reason","2677","3","04/22/2020"
"cuomo","2676","3","04/22/2020"
"killing","2673","3","04/22/2020"
"talking","2673","3","04/22/2020"
"sars","2671","3","04/22/2020"
"despite","2666","3","04/22/2020"
"fucking","2665","3","04/22/2020"
"hands","2663","3","04/22/2020"
"facebook","2662","3","04/22/2020"
"friends","2660","3","04/22/2020"
"special","2659","3","04/22/2020"
"known","2656","3","04/22/2020"
"cashless","2656","3","04/22/2020"
"deal","2653","3","04/22/2020"
"fallecidos","2651","3","04/22/2020"
"wo","2647","3","04/22/2020"
"spreading","2641","3","04/22/2020"
"virtual","2637","3","04/22/2020"
"task","2628","3","04/22/2020"
"tv","2626","3","04/22/2020"
"donald","2625","3","04/22/2020"
"stimulus","2624","3","04/22/2020"
"aux","2624","3","04/22/2020"
"university","2623","3","04/22/2020"
"demand","2619","3","04/22/2020"
"canada","2618","3","04/22/2020"
"women","2610","3","04/22/2020"
"advice","2610","3","04/22/2020"
"company","2608","3","04/22/2020"
"nurses","2605","3","04/22/2020"
"problem","2605","3","04/22/2020"
"crise","2604","3","04/22/2020"
"australia","2594","3","04/22/2020"
"funds","2591","3","04/22/2020"
"contre","2591","3","04/22/2020"
"ok","2578","3","04/22/2020"
"message","2574","3","04/22/2020"
"vulnerable","2574","3","04/22/2020"
"hey","2567","3","04/22/2020"
"moment","2566","3","04/22/2020"
"access","2563","3","04/22/2020"
"13","2562","3","04/22/2020"
"60","2561","3","04/22/2020"
"17","2560","3","04/22/2020"
"bisa","2557","3","04/22/2020"
"vida","2555","3","04/22/2020"
"lead","2553","3","04/22/2020"
"calls","2534","3","04/22/2020"
"evidence","2527","3","04/22/2020"
"affected","2525","3","04/22/2020"
"thousands","2523","3","04/22/2020"
"black","2515","3","04/22/2020"
"500","2513","3","04/22/2020"
"calling","2511","3","04/22/2020"
"ri","2511","3","04/22/2020"
"nytimes","2507","3","04/22/2020"
"nursing","2506","3","04/22/2020"
"communities","2504","3","04/22/2020"
"law","2502","3","04/22/2020"
"else","2501","3","04/22/2020"
"members","2501","3","04/22/2020"
"nuevo","2497","3","04/22/2020"
"ny","2495","3","04/22/2020"
"tindakan","2490","3","04/22/2020"
"taken","2489","3","04/22/2020"
"cada","2485","3","04/22/2020"
"hours","2483","3","04/22/2020"
"aquí","2479","3","04/22/2020"
"behind","2478","3","04/22/2020"
"thread","2469","3","04/22/2020"
"almost","2465","3","04/22/2020"
"gets","2465","3","04/22/2020"
"novel","2461","3","04/22/2020"
"all","2457","3","04/22/2020"
"poor","2456","3","04/22/2020"
"among","2454","3","04/22/2020"
"vote","2452","3","04/22/2020"
"power","2445","3","04/22/2020"
"menos","2445","3","04/22/2020"
"vegas","2444","3","04/22/2020"
"pruebas","2438","3","04/22/2020"
"try","2434","3","04/22/2020"
"sector","2431","3","04/22/2020"
"area","2429","3","04/22/2020"
"missouri","2424","3","04/22/2020"
"infections","2419","3","04/22/2020"
"reopening","2418","3","04/22/2020"
"mental","2418","3","04/22/2020"
"huge","2416","3","04/22/2020"
"heart","2415","3","04/22/2020"
"whitehouse","2414","3","04/22/2020"
"europe","2403","3","04/22/2020"
"planet","2400","3","04/22/2020"
"looks","2392","3","04/22/2020"
"leader","2388","3","04/22/2020"
"healthy","2386","3","04/22/2020"
"ready","2386","3","04/22/2020"
"rest","2386","3","04/22/2020"
"probably","2381","3","04/22/2020"
"funding","2381","3","04/22/2020"
"tomorrow","2374","3","04/22/2020"
"jesus","2372","3","04/22/2020"
"mejor","2370","3","04/22/2020"
"happen","2368","3","04/22/2020"
"caused","2367","3","04/22/2020"
"contagios","2360","3","04/22/2020"
"iran","2353","3","04/22/2020"
"coba","2353","3","04/22/2020"
"isolation","2352","3","04/22/2020"
"pakistan","2352","3","04/22/2020"
"party","2350","3","04/22/2020"
"16","2343","3","04/22/2020"
"giving","2334","3","04/22/2020"
"started","2333","3","04/22/2020"
"name","2329","3","04/22/2020"
"course","2329","3","04/22/2020"
"office","2329","3","04/22/2020"
"और","2327","3","04/22/2020"
"front","2327","3","04/22/2020"
"worst","2316","3","04/22/2020"
"tem","2313","3","04/22/2020"
"especially","2310","3","04/22/2020"
"list","2309","3","04/22/2020"
"sad","2308","3","04/22/2020"
"deadly","2306","3","04/22/2020"
"morning","2305","3","04/22/2020"
"past","2302","3","04/22/2020"
"रह","2300","3","04/22/2020"
"term","2297","3","04/22/2020"
"spoke","2297","3","04/22/2020"
"program","2295","3","04/22/2020"
"claims","2288","3","04/22/2020"
"came","2285","3","04/22/2020"
"yesterday","2285","3","04/22/2020"
"killed","2282","3","04/22/2020"
"february","2279","3","04/22/2020"
"tengah","2271","3","04/22/2020"
"protection","2267","3","04/22/2020"
"ramadan","2267","3","04/22/2020"
"results","2263","3","04/22/2020"
"lol","2263","3","04/22/2020"
"move","2260","3","04/22/2020"
"mal","2259","3","04/22/2020"
"italia","2259","3","04/22/2020"
"un","2258","3","04/22/2020"
"sense","2257","3","04/22/2020"
"negative","2253","3","04/22/2020"
"lies","2253","3","04/22/2020"
"hand","2250","3","04/22/2020"
"scientists","2249","3","04/22/2020"
"saat","2245","3","04/22/2020"
"dies","2243","3","04/22/2020"
"democrats","2237","3","04/22/2020"
"información","2233","3","04/22/2020"
"tiempo","2231","3","04/22/2020"
"ones","2231","3","04/22/2020"
"package","2230","3","04/22/2020"
"கள","2229","3","04/22/2020"
"hold","2227","3","04/22/2020"
"hoax","2226","3","04/22/2020"
"rise","2222","3","04/22/2020"
"policy","2222","3","04/22/2020"
"millones","2215","3","04/22/2020"
"prevent","2209","3","04/22/2020"
"confirmados","2207","3","04/22/2020"
"shut","2204","3","04/22/2020"
"international","2199","3","04/22/2020"
"ist","2199","3","04/22/2020"
"governors","2191","3","04/22/2020"
"plans","2190","3","04/22/2020"
"issue","2189","3","04/22/2020"
"mari","2187","3","04/22/2020"
"gon","2186","3","04/22/2020"
"dangerous","2185","3","04/22/2020"
"que","2185","3","04/22/2020"
"yg","2181","3","04/22/2020"
"im","2180","3","04/22/2020"
"vez","2179","3","04/22/2020"
"comes","2179","3","04/22/2020"
"italy","2174","3","04/22/2020"
"critical","2170","3","04/22/2020"
"play","2169","3","04/22/2020"
"washington","2167","3","04/22/2020"
"run","2159","3","04/22/2020"
"bring","2159","3","04/22/2020"
"leave","2155","3","04/22/2020"
"that","2152","3","04/22/2020"
"woman","2150","3","04/22/2020"
"orders","2148","3","04/22/2020"
"vs","2145","3","04/22/2020"
"agree","2142","3","04/22/2020"
"ils","2138","3","04/22/2020"
"education","2137","3","04/22/2020"
"proud","2133","3","04/22/2020"
"dice","2132","3","04/22/2020"
"season","2132","3","04/22/2020"
"though","2131","3","04/22/2020"
"security","2129","3","04/22/2020"
"tips","2110","3","04/22/2020"
"finds","2109","3","04/22/2020"
"benefit","2109","3","04/22/2020"
"nature","2108","3","04/22/2020"
"difficult","2108","3","04/22/2020"
"opening","2107","3","04/22/2020"
"frente","2103","3","04/22/2020"
"favor","2098","3","04/22/2020"
"parte","2095","3","04/22/2020"
"handling","2088","3","04/22/2020"
"nyc","2086","3","04/22/2020"
"facing","2084","3","04/22/2020"
"decision","2082","3","04/22/2020"
"kits","2079","3","04/22/2020"
"ditengah","2076","3","04/22/2020"
"socialdistancing","2070","3","04/22/2020"
"agency","2070","3","04/22/2020"
"clear","2068","3","04/22/2020"
"vacuna","2068","3","04/22/2020"
"reuters","2066","3","04/22/2020"
"ke","2065","3","04/22/2020"
"announced","2063","3","04/22/2020"
"forward","2060","3","04/22/2020"
"took","2059","3","04/22/2020"
"mit","2059","3","04/22/2020"
"akan","2049","3","04/22/2020"
"goes","2048","3","04/22/2020"
"head","2047","3","04/22/2020"
"comment","2045","3","04/22/2020"
"animals","2044","3","04/22/2020"
"blame","2042","3","04/22/2020"
"click","2042","3","04/22/2020"
"trials","2035","3","04/22/2020"
"up","2034","3","04/22/2020"
"release","2033","3","04/22/2020"
"número","2030","3","04/22/2020"
"age","2028","3","04/22/2020"
"cas","2028","3","04/22/2020"
"details","2026","3","04/22/2020"
"heard","2025","3","04/22/2020"
"guy","2024","3","04/22/2020"
"late","2022","3","04/22/2020"
"serious","2022","3","04/22/2020"
"following","2020","3","04/22/2020"
"fase","2019","3","04/22/2020"
"buy","2018","3","04/22/2020"
"médicos","2011","3","04/22/2020"
"not","2010","3","04/22/2020"
"politics","2008","3","04/22/2020"
"side","2008","3","04/22/2020"
"tracing","2005","3","04/22/2020"
"bible","2005","3","04/22/2020"
"went","2004","3","04/22/2020"
"election","1998","2","04/22/2020"
"date","1997","2","04/22/2020"
"trust","1996","2","04/22/2020"
"apresasi","1991","2","04/22/2020"
"situación","1986","2","04/22/2020"
"ont","1983","2","04/22/2020"
"ppl","1981","2","04/22/2020"
"department","1980","2","04/22/2020"
"den","1980","2","04/22/2020"
"pra","1979","2","04/22/2020"
"cash","1978","2","04/22/2020"
"wonder","1978","2","04/22/2020"
"ng","1977","2","04/22/2020"
"san","1972","2","04/22/2020"
"venezuela","1969","2","04/22/2020"
"kartini","1966","2","04/22/2020"
"knew","1965","2","04/22/2020"
"ao","1965","2","04/22/2020"
"blog","1961","2","04/22/2020"
"covid2019","1961","2","04/22/2020"
"jangan","1960","2","04/22/2020"
"frontline","1958","2","04/22/2020"
"send","1957","2","04/22/2020"
"add","1953","2","04/22/2020"
"thinking","1946","2","04/22/2020"
"tan","1945","2","04/22/2020"
"source","1944","2","04/22/2020"
"reporting","1944","2","04/22/2020"
"congress","1943","2","04/22/2020"
"finally","1943","2","04/22/2020"
"center","1942","2","04/22/2020"
"nicht","1942","2","04/22/2020"
"florida","1941","2","04/22/2020"
"major","1941","2","04/22/2020"
"nueva","1941","2","04/22/2020"
"guidelines","1938","2","04/22/2020"
